STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro #,Basin #,Owner,Maintenance,Operator,Map #,Collect #,County Name,Basin Name,Agency Name,Hydro Area,Sensor1,sensor2,sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,,,
TLG,TUOLUMNE R-LA GRANGE DAM,170,37.666,-120.441,LA GRANGE,6,8601,999,722,203,24,0,STANISLAUS,TUOLUMNE R,Turlock Irrigation District,SAN JOAQUIN RIVER,8,65,66,260,261,262,263,264,265,290,,,,,,,,,,,,,,
TMP,TOMASINI POINT,40,38.117,-122.85,POINT REYES,2,1701,999,999,7,16,0,MARIN,COAST-MARIN,CA Dept of Health Services (Richmond),SAN FRANCISCO BAY,1,2,4,9,10,12,45,,,,,,,,,,,,,,,,,
TMS,THREE MILE SLOUGH,15,38.106,-121.7,ANTIOCH,5,6501,999,999,1,17,0,SACRAMENTO,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,5,14,25,100,,,,,,,,,,,,,,,,,,,,
TPI,TOM PAINE SLOUGH ABV INTAKE STRUCTURE,9,37.7901001,-121.4185104,TRACY,6,9001,999,999,1,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources,SAN JOAQUIN RIVER,1,14,25,100,141,,,,,,,,,,,,,,,,,,,
TPP,TOM PAINE SLOUGH NR PESCADERO,10,37.76728439,-121.3510284,TRACY,6,9001,999,999,703,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/Operations and Maintenance,SAN JOAQUIN RIVER,1,14,141,,,,,,,,,,,,,,,,,,,,,
TPS,TOM PAINE SLOUGH ABV THE MOUTH,9,37.79053497,-121.4186325,TRACY,6,9001,999,999,704,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,25,100,141,144,,,,,,,,,,,,,,,,,,
TRN,TURNER CUT NEAR HOLT,0,37.9928,-121.4542,HOLT,6,9001,999,999,5,23,0,SAN JOAQUIN,SAN JOAQUIN R,USGS/DWR,SAN JOAQUIN RIVER,1,5,20,21,25,28,61,62,100,221,,,,,,,,,,,,,,
TRP,TRACY PUMPING PLANT,3,37.8,-121.585,TRACY,6,9001,999,999,703,23,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/Operations and Maintenance,SAN JOAQUIN RIVER,27,28,61,62,70,100,101,109,112,146,148,149,150,151,152,153,179,266,267,268,269,,,
TRT,TULUMNE R AT TUOLUMNE CITY,53,37.60314,-121.13131,MODESTO,6,8601,999,999,713,22,2,STANISLAUS,TUOLUMNE R,CA Dept of Water Resources/O&M San Joaquin Field Division,SAN JOAQUIN RIVER,1,14,20,,,,,,,,,,,,,,,,,,,,,
TRW,TUOLUMNE R AT WATERFORD,100,37.6336,-120.76556,WATERFORD,6,8601,999,999,706,24,2,STANISLAUS,TUOLUMNE R,CA Dept of Water Resources/South Central Region Office,SAN JOAQUIN RIVER,1,14,20,,,,,,,,,,,,,,,,,,,,,
TSB,TUOLUMNE RIVER AT SHILOH BRIDGE,36,37.60273,-121.13138,MODESTO,6,8601,999,999,801,23,0,STANISLAUS,TUOLUMNE R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
TSF,TUOLUMNE RIVER NEAR SANTE FE BRIDGE,45,37.62291,-120.89874,HUGHSON,6,8601,999,999,801,24,0,STANISLAUS,TUOLUMNE R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
TSL,THREEMILE SLOUGH AT SAN JOAQUIN RIVER,10,38.1033,-121.6861,ANTIOCH,5,6501,999,999,5,16,0,SACRAMENTO,SACRAMENTO R,USGS/DWR,SACRAMENTO RIVER,1,20,21,25,61,100,221,222,223,224,225,226,227,228,229,230,,,,,,,,
TTS,TUOLUMNE R AT TURLOCK LK ST REC CAMPGRD,110,37.63153,-120.5829,WATERFORD,6,8601,999,999,801,24,0,STANISLAUS,TUOLUMNE R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
TUL,TULLOCH,515,37.875,-120.603,SONORA,6,8501,999,999,50,24,0,CALAVERAS,STANISLAUS R,US Bureau of Reclamation,SAN JOAQUIN RIVER,6,15,22,23,48,71,74,76,85,94,200,,,,,,,,,,,,,
TWA,OLD RIVER AT TRACY WILDLIFE ASSOCIATION,0,37.8028,-121.4574,TRACY,6,9001,999,999,704,23,17,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,25,28,61,62,100,221,,,,,,,,,,,,,,,,,,
TWI,SAN JOAQUIN RIVER AT TWITCHELL ISLAND,0,38.0969,-121.6691,RIO VISTA,6,9001,999,999,705,16,21,SACRAMENTO,SAN JOAQUIN R,CA Dept of Water Resources/Div of Environmental Services,SAN JOAQUIN RIVER,14,25,27,28,61,62,100,,,,,,,,,,,,,,,,,
UCS,UPPER CACHE SLOUGH,0,38.27555556,-121.7091667,RIO VISTA,5,6501,999,999,58,16,22,SOLANO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
ULC,ULTATIS CREEK,0,38.29416667,-121.7597222,ELMIRA,5,8101,999,999,58,16,22,SOLANO,DELTA,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
ULT,ULATIS CREEK AT PLEASANTS VALLEY ROAD,362,38.40508,-122.04255,VACAVILLE,2,8101,221,221,221,0,99,SOLANO,DELTA,Solano County Water Agency,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
UNI,UNION ISLAND,0,37.822101,-121.37499,BYRON,5,8101,999,999,50,22,0,SAN JOAQUIN,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
USL,U SAN LEANDRO,477,37.7644,-122.1016,OAKLAND,2,2101,999,999,86,21,0,ALAMEDA,ALAMEDA CR,East Bay Municipal Utility District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
VBR,WILDCAT CREEK AT VALE,84,37.95319298,-122.3383026,SAN PABLO,2,2001,999,999,107,21,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
VCU,VICTORIA CANAL NEAR BYRON,0,37.8717,-121.5283,STOCKTON,6,8101,999,999,5,23,0,SAN JOAQUIN,DELTA,USGS/DWR,SAN JOAQUIN RIVER,1,5,20,21,25,27,28,41,61,62,100,,,,,,,,,,,,,
VER,VERNALIS (USBR),0,37.679376,-121.265002,MODESTO,6,9001,999,999,50,22,0,SAN JOAQUIN,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
VEW,VACAVILLE EASTERLY WASTE WATER TREATMENT,62,38.343177,-121.904634,ELMIRA,2,8101,221,221,221,0,99,SOLANO,DELTA,Solano County Water Agency,SAN FRANCISCO BAY,45,,,,,,,,,,,,,,,,,,,,,,,
VIC,VICTORIA ISLAND,0,37.890763,-121.488324,BYRON,5,8101,999,999,50,22,0,SAN JOAQUIN,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,146,,,,,,,,,,,,,,,,,,,,
VNE,VENICE ISLAND,0,38.05,-121.496,LODI,5,8101,999,999,1,17,0,SAN JOAQUIN,DELTA,CA Dept of Water Resources,SACRAMENTO RIVER,1,2,14,,,,,,,,,,,,,,,,,,,,,
VNI,SAN JOAQUIN RIVER AT VENICE ISLAND,0,38.05017853,-121.4966965,LODI,5,9001,999,999,703,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,1,2,14,17,45,141,,,,,,,,,,,,,,,,,,
VNS,SAN JOAQUIN RIVER NEAR VERNALIS,35,37.67604065,-121.2663269,MODESTO,6,9001,700,999,5,23,0,SAN JOAQUIN,SAN JOAQUIN R,USGS/DWR,SAN JOAQUIN RIVER,1,14,20,41,146,169,,,,,,,,,,,,,,,,,,
VOL,VOLANTI,8,38.181,-122.046,FAIRFIELD,5,8101,999,999,705,16,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,5,14,25,27,28,61,62,100,,,,,,,,,,,,,,,
VRN,VIEIRA RANCH,372,37.665,-121.469,TRACY,6,9001,999,999,139,23,0,SAN JOAQUIN,SAN JOAQUIN R,San Joaquin County,SAN JOAQUIN RIVER,16,,,,,,,,,,,,,,,,,,,,,,,
VSB,VALLECITOS,635,37.5985,-121.8193,PLEASANTON,2,2801,999,999,703,23,0,ALAMEDA,SF BAY,CA Dept of Water Resources/Operations and Maintenance,SAN FRANCISCO BAY,25,27,62,100,114,146,149,,,,,,,,,,,,,,,,,
WBR,MOKELUMNE RIVER AT WOODBRIDGE,46,38.159,-121.302,WOODBRIDGE,6,8301,999,999,86,17,0,SAN JOAQUIN,MOKELUMNE R,East Bay Municipal Utility District,SAN JOAQUIN RIVER,1,,,,,,,,,,,,,,,,,,,,,,,
WCI,WEST CANAL AT CLIFTON COURT INTAKE,0,37.8316,-121.554,BYRON,6,9001,999,999,704,23,0,CONTRA COSTA,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,20,21,25,28,61,62,100,221,,,,,,,,,,,,,,,
WCY,WALNUT CREEK AT YGNACIO VALLEY ROAD,99,37.9069,-122.0567,WALNUT CREEK,2,2001,999,999,107,22,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
WDB,WALNUT CREEK AT DIAMOND,24,37.9694517,-122.053855,WALNUT CREEK,2,2001,999,999,107,21,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
WDN,WIEDEMANN HILL,1850,37.738206,-121.994839,SAN RAMON,2,8101,107,107,107,0,99,CONTRA COSTA,DELTA,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
WGS,SACRAMENTO R AT WALNUT GROVE STAGE,22,38.239414,-121.51672,WALNUT GROVE,5,6501,999,999,704,16,2,SACRAMENTO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,14,,,,,,,,,,,,,,,,,,,,,,
WLB,WILLOW BROOK NEAR STONY POINT ROAD,30,38.275,-122.711,PETALUMA,2,1801,999,999,75,16,0,SONOMA,PETALUMA R,City of Petaluma,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
WMR,WALNUT CREEK AT MARSH DRIVE,14,37.99900253,-122.0563143,CONCORD,2,2001,999,999,107,21,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
WNT,WINTERS,135,38.517,-121.967,DAVIS,5,8001,999,999,40,17,0,YOLO,PUTAH CR,National Weather Service,SACRAMENTO RIVER,2,,,,,,,,,,,,,,,,,,,,,,,
WPT,WEST POINT,2775,38.377,-120.545,MOKELUMNE HILL,6,8301,999,999,40,18,0,CALAVERAS,MOKELUMNE R,National Weather Service,SAN JOAQUIN RIVER,2,,,,,,,,,,,,,,,,,,,,,,,
WSF,WEAPONS STATION FIRE,49,38.019,-122.02,CLYDE,2,2001,999,999,107,16,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
WWS,WESTLEY WEATHER STATION,88,37.5172,-121.2308,WESTLEY,6,9001,999,999,150,23,0,STANISLAUS,SAN JOAQUIN R,Stanislaus County,SAN JOAQUIN RIVER,2,4,9,10,11,12,13,14,26,77,78,,,,,,,,,,,,,
YGF,YGNACIO VALLEY FIRE,83,37.938,-122.028,CONCORD,2,2001,999,999,107,22,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,2,16,45,,,,,,,,,,,,,,,,,,,,,
